scenario,metric,analysis_type,n_pairs,n_ai,n_traditional,ai_mean,traditional_mean,difference_ai_minus_traditional,difference_ci95_lo,difference_ci95_hi,improvement_percent,pvalue_permutation,pvalue_holm
accident,avg_wait_time,paired,30,30,30,27.14666666666667,60.093333333333334,-32.946666666666665,-38.304249999999996,-27.706499999999995,54.82582649212336,0.00024993751562109475,0.0024993751562109477
accident,flow_rate,paired,30,30,30,3.9466666666666668,1.673333333333333,2.2733333333333343,1.98,2.5733333333333333,135.85657370517933,0.00024993751562109475,0.0024993751562109477
accident,co2_emissions,paired,30,30,30,207.4543333333333,197.29500000000004,10.159333333333308,-4.750175000000001,24.921866666666673,-5.149311099284446,0.20544863784053988,0.41089727568107975
accident,emergency_response_time,paired,30,30,30,4.166666666666666,27.65,-23.48333333333333,-39.950500000000005,-9.649583333333332,84.93068113321279,0.002749312671832042,0.010997250687328168
accident,total_collisions,paired,30,30,30,71.03333333333333,75.86666666666666,-4.833333333333329,-5.766666666666667,-3.9,6.37082601054481,0.00024993751562109475,0.0024993751562109477
accident,collision_avoided,paired,30,30,30,0.43333333333333335,0.16666666666666666,0.2666666666666667,0.0,0.5333333333333333,160.00000000000003,0.11197200699825044,0.3359160209947513
accident,light_avg_wait_time,paired,30,30,30,34.74333333333334,60.38,-25.636666666666663,-30.703416666666666,-20.32608333333333,42.45887159103455,0.00024993751562109475,0.0024993751562109477
accident,heavy_avg_wait_time,paired,30,30,30,32.089999999999996,40.52,-8.429999999999993,-22.36008333333333,5.487583333333336,20.80454096742351,0.24293926518370407,0.41089727568107975
accident,light_completed,paired,30,30,30,12.6,6.6,6.0,4.966666666666667,7.066666666666666,90.90909090909092,0.00024993751562109475,0.0024993751562109477
accident,heavy_completed,paired,30,30,30,3.1666666666666665,1.2666666666666666,1.9,1.2333333333333334,2.566666666666667,150.0,0.00024993751562109475,0.0024993751562109477
emergency,avg_wait_time,paired,30,30,30,27.476666666666674,62.63,-35.15333333333332,-38.86441666666666,-31.596,56.12858587471392,0.00024993751562109475,0.0024993751562109477
emergency,flow_rate,paired,30,30,30,5.546666666666667,2.266666666666667,3.28,2.86,3.6868333333333343,144.70588235294116,0.00024993751562109475,0.0024993751562109477
