scenario,mode_a,mode_b,metric,analysis_type,n_pairs,n_mode_a,n_mode_b,mode_a_mean,mode_b_mean,difference_a_minus_b,difference_ci95_lo,difference_ci95_hi,improvement_percent,pvalue_permutation,pvalue_holm
accident,ai,traditional,avg_wait_time,paired,30,30,30,27.14666666666667,60.093333333333334,-32.946666666666665,-38.304249999999996,-27.706499999999995,54.82582649212336,0.00024993751562109475,0.0017495626093476631
accident,ai,traditional,flow_rate,paired,30,30,30,3.9466666666666668,1.673333333333333,2.2733333333333343,1.98,2.5733333333333333,135.85657370517933,0.00024993751562109475,0.0017495626093476631
accident,ai,traditional,co2_emissions,paired,30,30,30,207.4543333333333,197.29500000000004,10.159333333333308,-4.750175000000001,24.921866666666673,-5.149311099284446,0.20544863784053988,0.22394401399650088
accident,ai,traditional,emergency_response_time,paired,30,30,30,4.166666666666666,27.65,-23.48333333333333,-39.950500000000005,-9.649583333333332,84.93068113321279,0.002749312671832042,0.008247938015496127
accident,ai,traditional,total_collisions,paired,30,30,30,71.03333333333333,75.86666666666666,-4.833333333333329,-5.766666666666667,-3.9,6.37082601054481,0.00024993751562109475,0.0017495626093476631
accident,ai,traditional,collision_avoided,paired,30,30,30,0.43333333333333335,0.16666666666666666,0.2666666666666667,0.0,0.5333333333333333,160.00000000000003,0.11197200699825044,0.22394401399650088
accident,ai,traditional,vehicles_completed,paired,30,30,30,19.733333333333334,8.366666666666667,11.366666666666667,9.9,12.866666666666667,135.85657370517927,0.00024993751562109475,0.0017495626093476631
emergency,ai,traditional,avg_wait_time,paired,30,30,30,27.476666666666674,62.63,-35.15333333333332,-38.86441666666666,-31.596,56.12858587471392,0.00024993751562109475,0.0017495626093476631
emergency,ai,traditional,flow_rate,paired,30,30,30,5.546666666666667,2.266666666666667,3.28,2.86,3.6868333333333343,144.70588235294116,0.00024993751562109475,0.0017495626093476631
emergency,ai,traditional,co2_emissions,paired,30,30,30,248.32033333333328,229.787,18.533333333333303,-1.7864916666666733,39.64456666666667,-8.065440313565727,0.08847788052986753,0.17695576105973507
emergency,ai,traditional,emergency_response_time,paired,30,30,30,2.9099999999999997,39.83333333333334,-36.923333333333346,-54.480000000000004,-20.44133333333333,92.69456066945607,0.0004998750312421895,0.0017495626093476631
emergency,ai,traditional,total_collisions,paired,30,30,30,66.46666666666667,73.5,-7.033333333333331,-8.433333333333334,-5.633333333333334,9.569160997732423,0.00024993751562109475,0.0017495626093476631
emergency,ai,traditional,collision_avoided,paired,30,30,30,0.2,0.13333333333333333,0.06666666666666668,-0.13416666666666638,0.26666666666666666,50.000000000000014,0.7480629842539365,0.7480629842539365
emergency,ai,traditional,vehicles_completed,paired,30,30,30,27.733333333333334,11.333333333333334,16.4,14.3,18.43416666666667,144.70588235294116,0.00024993751562109475,0.0017495626093476631
normal,ai,traditional,avg_wait_time,paired,30,30,30,29.94,66.64666666666666,-36.70666666666668,-40.367,-33.08291666666667,55.07652295688706,0.00024993751562109475,0.0017495626093476631
normal,ai,traditional,flow_rate,paired,30,30,30,5.3,2.4866666666666664,2.813333333333333,2.5731666666666664,3.053333333333333,113.13672922252012,0.00024993751562109475,0.0017495626093476631
normal,ai,traditional,co2_emissions,paired,30,30,30,225.26733333333337,221.743,3.5243333333333453,-15.989324999999994,22.45564166666667,-1.5893774925627295,0.7225693576605848,1.0
normal,ai,traditional,emergency_response_time,paired,30,30,30,2.95,27.583333333333336,-24.63333333333333,-38.055833333333325,-12.337583333333322,89.30513595166163,0.0007498125468632841,0.0022494376405898524
normal,ai,traditional,total_collisions,paired,30,30,30,49.56666666666667,56.1,-6.533333333333331,-7.4,-5.666666666666667,11.645870469399878,0.00024993751562109475,0.0017495626093476631
normal,ai,traditional,collision_avoided,paired,30,30,30,0.06666666666666667,0.1,-0.03333333333333334,-0.16666666666666666,0.1,-33.333333333333336,1.0,1.0
normal,ai,traditional,vehicles_completed,paired,30,30,30,26.5,12.433333333333334,14.066666666666666,12.865833333333335,15.266666666666667,113.13672922252009,0.00024993751562109475,0.0017495626093476631
portugal,ai,traditional,avg_wait_time,paired,30,30,30,13.733333333333336,18.766666666666666,-5.033333333333335,-6.8735,-3.2632499999999998,26.820603907637636,0.00024993751562109475,0.0017495626093476631
portugal,ai,traditional,flow_rate,paired,30,30,30,10.346666666666664,6.58,3.7666666666666684,3.3800000000000003,4.153500000000001,57.24417426545082,0.00024993751562109475,0.0017495626093476631
portugal,ai,traditional,co2_emissions,paired,30,30,30,301.508,288.51800000000003,12.989999999999952,-1.9614250000000049,27.580816666666657,-4.502318746144071,0.10022494376405898,0.20044988752811796
portugal,ai,traditional,emergency_response_time,paired,30,30,30,2.9033333333333333,25.669999999999998,-22.766666666666666,-36.52408333333332,-11.182249999999993,88.68978054798079,0.0014996250937265683,0.004498875281179705
portugal,ai,traditional,total_collisions,paired,30,30,30,108.66666666666667,117.53333333333333,-8.86666666666666,-10.266666666666667,-7.533333333333333,7.543959160521832,0.00024993751562109475,0.0017495626093476631
portugal,ai,traditional,collision_avoided,paired,30,30,30,0.3333333333333333,0.36666666666666664,-0.033333333333333326,-0.23333333333333334,0.16750000000000304,-9.09090909090909,1.0,1.0
portugal,ai,traditional,vehicles_completed,paired,30,30,30,51.733333333333334,32.9,18.833333333333336,16.9,20.767500000000002,57.24417426545087,0.00024993751562109475,0.0017495626093476631
portugal_interior,ai,traditional,avg_wait_time,paired,30,30,30,9.82,11.996666666666666,-2.176666666666666,-3.516833333333333,-0.8200000000000001,18.143928869130306,0.005248687828042989,0.010497375656085979
portugal_interior,ai,traditional,flow_rate,paired,30,30,30,13.026666666666667,8.806666666666668,4.219999999999999,3.7600000000000002,4.6335000000000015,47.91824375473124,0.00024993751562109475,0.0017495626093476631
portugal_interior,ai,traditional,co2_emissions,paired,30,30,30,286.738,262.99466666666666,23.74333333333334,8.109858333333328,38.1126,-9.02806647536579,0.0032491877030742314,0.009747563109222694
portugal_interior,ai,traditional,emergency_response_time,paired,30,30,30,2.81,32.59,-29.780000000000005,-40.26766666666666,-20.16883333333333,91.37772322798405,0.00024993751562109475,0.0017495626093476631
portugal_interior,ai,traditional,total_collisions,paired,30,30,30,94.03333333333333,103.86666666666666,-9.833333333333329,-11.2,-8.5,9.467265725288827,0.00024993751562109475,0.0017495626093476631
portugal_interior,ai,traditional,collision_avoided,paired,30,30,30,0.3,0.23333333333333334,0.06666666666666665,-0.2,0.3333333333333333,28.571428571428566,0.8212946763309172,0.8212946763309172
portugal_interior,ai,traditional,vehicles_completed,paired,30,30,30,65.13333333333334,44.03333333333333,21.10000000000001,18.8,23.167500000000004,47.918243754731286,0.00024993751562109475,0.0017495626093476631
portugal_litoral,ai,traditional,avg_wait_time,paired,30,30,30,12.046666666666669,16.34,-4.293333333333331,-5.270166666666666,-3.3500000000000005,26.27498980008159,0.00024993751562109475,0.0017495626093476631
portugal_litoral,ai,traditional,flow_rate,paired,30,30,30,11.22,7.353333333333335,3.866666666666667,3.4333333333333345,4.326666666666667,52.583862194016284,0.00024993751562109475,0.0017495626093476631
portugal_litoral,ai,traditional,co2_emissions,paired,30,30,30,310.3986666666667,299.725,10.67366666666669,1.6650833333333366,19.692091666666673,-3.561153279395009,0.030242439390152462,0.060484878780304924
portugal_litoral,ai,traditional,emergency_response_time,paired,30,30,30,2.829999999999999,28.923333333333336,-26.093333333333334,-35.867583333333336,-16.35699999999999,90.21551227382737,0.00024993751562109475,0.0017495626093476631
portugal_litoral,ai,traditional,total_collisions,paired,30,30,30,118.8,128.0,-9.200000000000003,-10.466666666666667,-7.9,7.187500000000002,0.00024993751562109475,0.0017495626093476631
