scenario,mode_a,mode_b,metric,analysis_type,n_pairs,n_mode_a,n_mode_b,mode_a_mean,mode_b_mean,difference_a_minus_b,difference_ci95_lo,difference_ci95_hi,improvement_percent,pvalue_permutation,pvalue_holm
accident,ai,rl,avg_wait_time,paired,10,10,10,22.9,41.41,-18.509999999999998,-27.530249999999995,-10.72975,44.699347983578846,0.005498625343664084,0.09347663084228944
accident,ai,rl,flow_rate,paired,10,10,10,5.7700000000000005,3.1900000000000004,2.58,1.44975,3.55,80.87774294670845,0.007248187953011747,0.11597100724818796
accident,ai,rl,co2_emissions,paired,10,10,10,113.378,106.346,7.0319999999999965,-15.255424999999999,28.103074999999997,-6.61237846275365,0.5748562859285179,1.0
accident,ai,rl,emergency_response_time,paired,10,10,10,2.82,36.51,-33.69,-47.690000000000005,-19.87975,92.27608874281019,0.007248187953011747,0.11597100724818796
accident,ai,rl,total_collisions,paired,10,10,10,31.9,35.2,-3.3000000000000043,-4.6,-1.7,9.37500000000001,0.008247938015496127,0.11597100724818796
accident,ai,rl,collision_avoided,paired,10,10,10,0.4,0.0,0.4,0.1,0.7,0.0,0.12996750812296926,0.8082979255186203
accident,ai,rl,vehicles_completed,paired,10,10,10,17.3,9.6,7.700000000000001,4.3,10.6,80.20833333333334,0.007248187953011747,0.11597100724818796
accident,ai,traditional,avg_wait_time,paired,10,10,10,22.9,57.69,-34.79,-43.64075,-25.479499999999994,60.30507886982146,0.0017495626093476631,0.036740814796300925
accident,ai,traditional,flow_rate,paired,10,10,10,5.7700000000000005,1.47,4.300000000000001,3.4900000000000007,5.0,292.51700680272114,0.0017495626093476631,0.036740814796300925
accident,ai,traditional,co2_emissions,paired,10,10,10,113.378,88.071,25.307000000000002,10.001225000000003,44.301874999999995,-28.734770809914735,0.007998000499875032,0.11597100724818796
accident,ai,traditional,emergency_response_time,paired,10,10,10,2.82,14.27,-11.45,-30.401,2.5905000000000022,80.23826208829713,0.29117720569857536,1.0
accident,ai,traditional,total_collisions,paired,10,10,10,31.9,35.9,-4.0,-5.3,-2.6,11.142061281337048,0.0049987503124218945,0.0899775056235941
accident,ai,traditional,collision_avoided,paired,10,10,10,0.4,0.2,0.2,-0.1,0.6,100.0,0.6255936015996001,1.0
accident,ai,traditional,vehicles_completed,paired,10,10,10,17.3,4.4,12.9,10.4,15.0,293.1818181818182,0.0017495626093476631,0.036740814796300925
accident,rl,traditional,avg_wait_time,paired,10,10,10,41.41,57.69,-16.28,-26.531000000000002,-5.7295,28.21979545848501,0.025743564108972758,0.23169207698075484
accident,rl,traditional,flow_rate,paired,10,10,10,3.1900000000000004,1.47,1.7200000000000004,1.1300000000000001,2.25,117.00680272108848,0.007498125468632842,0.11597100724818796
accident,rl,traditional,co2_emissions,paired,10,10,10,106.346,88.071,18.275000000000006,5.629899999999997,31.033325000000005,-20.75030373221606,0.02649337665583604,0.23169207698075484
accident,rl,traditional,emergency_response_time,paired,10,10,10,36.51,14.27,22.24,-2.3299999999999996,45.05200000000001,-155.85143658023824,0.11547113221694576,0.8082979255186203
