scenario,mode,n,avg_wait_time_mean,avg_wait_time_std,avg_wait_time_ci95_lo,avg_wait_time_ci95_hi,flow_rate_mean,flow_rate_std,flow_rate_ci95_lo,flow_rate_ci95_hi,co2_emissions_mean,co2_emissions_std,co2_emissions_ci95_lo,co2_emissions_ci95_hi,emergency_response_time_mean,emergency_response_time_std,emergency_response_time_ci95_lo,emergency_response_time_ci95_hi,total_collisions_mean,total_collisions_std,total_collisions_ci95_lo,total_collisions_ci95_hi,collision_avoided_mean,collision_avoided_std,collision_avoided_ci95_lo,collision_avoided_ci95_hi,light_avg_wait_time_mean,light_avg_wait_time_std,light_avg_wait_time_ci95_lo,light_avg_wait_time_ci95_hi,heavy_avg_wait_time_mean,heavy_avg_wait_time_std,heavy_avg_wait_time_ci95_lo,heavy_avg_wait_time_ci95_hi,light_completed_mean,light_completed_std,light_completed_ci95_lo,light_completed_ci95_hi,heavy_completed_mean,heavy_completed_std,heavy_completed_ci95_lo,heavy_completed_ci95_hi
accident,ai,30,27.14666666666667,5.028795244310053,25.3471353996429,28.946197933690435,3.9466666666666668,0.8787661151054195,3.632204250977246,4.261129082356088,207.4543333333333,26.95020986206221,197.81032459097952,217.09834207568707,4.166666666666666,3.974169471538141,2.7445283856189135,5.588804947714419,71.03333333333333,2.399473122243259,70.17469290394908,71.89197376271758,0.43333333333333335,0.5683207771559354,0.22996235509584728,0.6367043115708194,34.74333333333334,5.432703228395243,32.79926545047017,36.687401216196506,32.089999999999996,12.421875864779846,27.64488880978964,36.53511119021035,12.6,3.635078142688033,11.299203992597777,13.900796007402223,3.1666666666666665,1.5104996509110151,2.626141308487007,3.707192024846326
accident,traditional,30,60.093333333333334,15.724611356051078,54.4663534261621,65.72031324050457,1.673333333333333,0.5836468779672513,1.464477980355649,1.8821886863110169,197.29500000000004,39.45156355889307,183.17743929049774,211.41256070950234,27.65,43.438873024690366,12.105598922892622,43.19440107710737,75.86666666666666,1.7564331673207403,75.238135129892,76.49519820344132,0.16666666666666666,0.461133037377414,0.001652328499444744,0.33168100483388857,60.38,15.440841499312677,54.854565831923516,65.9054341680765,40.52,38.79547965136287,26.63721590160106,54.402784098398946,6.6,2.2682212383731217,5.788327454056082,7.411672545943917,1.2666666666666666,1.1121068335350708,0.8687043472659033,1.66462898606743
emergency,ai,30,27.476666666666674,4.648224231440124,25.81332098758412,29.140012345749227,5.546666666666667,1.1140894947439592,5.147994861064144,5.9453384722691895,248.32033333333328,41.62606630990708,233.42463680788055,263.216029858786,2.9099999999999997,0.36041164204855797,2.7810283502595174,3.038971649740482,66.46666666666667,3.910492810757808,65.06731478603629,67.86601854729705,0.2,0.4068381021724863,0.05441485486919134,0.3455851451308087,33.559999999999995,4.2583467732653375,32.036170177540775,35.083829822459215,36.67333333333333,12.52701723953233,32.19059778537267,41.156068881294,17.766666666666666,3.9972691827721873,16.336262260114616,19.197071073218716,4.4,2.0103182112155347,3.6806168670631605,5.11938313293684
emergency,traditional,30,62.63,10.226340229170875,58.97055114683024,66.28944885316977,2.266666666666667,0.571346463723366,2.0622129603963653,2.471120372936969,229.787,46.4728816103802,213.1568928940888,246.4171071059112,39.83333333333334,47.41798969933708,22.865023641281986,56.8016430253847,73.5,1.717054414417017,72.88555996897652,74.11444003102348,0.13333333333333333,0.34574590364176044,0.009609750681461485,0.2570569159852052,61.53000000000001,12.529995734374701,57.04619861134846,66.01380138865156,55.686666666666675,38.08104545556103,42.059539561864966,69.31379377146838,9.266666666666667,2.625253135030698,8.32723189733792,10.206101435995414,1.4333333333333333,1.0400044208570938,1.0611725309437627,1.805494135722904
normal,ai,30,29.94,4.443949780901266,28.349752994245755,31.530247005754248,5.3,0.9123671372333882,4.97351361296443,5.62648638703557,225.26733333333337,30.30903585917315,214.42138414428265,236.11328252238408,2.95,0.2968222503045586,2.843783521853316,3.0562164781466845,49.56666666666667,2.4450277952490094,48.6917247069058,50.44160862642754,0.06666666666666667,0.2537081317024624,-0.024121622280541086,0.1574549556138744,35.38333333333333,4.921317691034786,33.62226241480772,37.144404251858944,36.013333333333335,10.722349630990186,32.17638979526433,39.85027687140234,17.566666666666666,3.9972691827721873,16.136262260114616,18.997071073218716,4.8,1.919051489848476,4.113276243864114,5.486723756135886
normal,traditional,30,66.64666666666666,10.204587654354404,62.995001872425284,70.29833146090803,2.4866666666666664,0.657441925235584,2.2514040951685788,2.721929238164754,221.743,48.06317646669813,204.54381318837414,238.94218681162585,27.583333333333336,37.53266240391743,14.152442583323591,41.01422408334308,56.1,2.0060254063781158,55.38215302754552,56.81784697245448,0.1,0.30512857662936466,-0.009188858848106482,0.2091888588481065,67.36666666666667,10.256212022841146,63.69652832941569,71.03680500391765,55.16333333333332,37.24558278214491,41.83517270662488,68.49149396004175,9.966666666666667,2.8464537323790653,8.948076280162393,10.98525705317094,1.7333333333333334,1.257620449659713,1.2832996351485022,2.1833670315181646
portugal,ai,30,13.733333333333336,2.93226208234193,12.684036823149714,14.782629843516958,10.346666666666664,1.3400291642048465,9.867143388712803,10.826189944620525,301.508,28.752972787834146,291.2188808297304,311.7971191702696,2.9033333333333333,0.2498045212772874,2.813941933436705,2.9927247332299616,108.66666666666667,3.95084742837519,107.2528740715822,110.08045926175114,0.3333333333333333,0.5466722735905339,0.1377091726053282,0.5289574940613384,15.556666666666667,3.4722231111109974,14.31414758387111,16.79918574946222,19.88,10.949142621133904,15.961899632694962,23.798100367305036,36.833333333333336,4.734927690037627,35.13896122006024,38.52770544660643,7.466666666666667,3.0482706610451284,6.3758570197420745,8.557476313591259
portugal,traditional,30,18.766666666666666,5.393887558014696,16.836488793061545,20.696844540271787,6.58,0.9760582232492148,6.230722050542822,6.929277949457179,288.51800000000003,34.776150309440915,276.07351443472163,300.9624855652784,25.669999999999998,36.536228123839514,12.595678677740048,38.74432132225995,117.53333333333333,2.648790658776753,116.58547576930495,118.48119089736171,0.36666666666666664,0.6149478998583782,0.14661038685733035,0.5867229464760029,16.740000000000002,5.376487765228818,14.816048562277977,18.663951437722027,28.59666666666667,18.562615067950947,21.95412017398535,35.239213159348,28.033333333333335,5.109040893413823,26.20508652956779,29.86158013709888,4.233333333333333,2.0791797675398644,3.489308408937245,4.9773582577294215
portugal_interior,ai,30,9.82,1.396152348173488,9.320393298591828,10.319606701408173,13.026666666666667,1.3043516908155304,12.559910408599949,13.493422924733386,286.738,24.566963996391582,277.9468248378426,295.5291751621574,2.81,0.21066397495734193,2.7346148647232784,2.8853851352767217,94.03333333333333,3.624469838361937,92.73633345888095,95.33033320778571,0.3,0.5959634332684376,0.08673722431175929,0.5132627756882406,10.540000000000001,2.030389804599277,9.813434339615082,11.26656566038492,13.686666666666666,5.08308441071332,11.867708270945647,15.505625062387685,43.3,5.395719887415234,41.36916643573984,45.23083356426015,13.5,2.8617573573616952,12.47593328162753,14.52406671837247
portugal_interior,traditional,30,11.996666666666666,3.5969798953866965,10.7095039419707,13.283829391362632,8.806666666666668,1.2266954019622809,8.367699354676164,9.245633978657173,262.99466666666666,34.16777809910801,250.7678843009212,275.2214490324121,32.59,28.640847969531087,22.341004180661038,42.83899581933897,103.86666666666666,3.7207093625973444,102.5352279207607,105.19810541257262,0.23333333333333334,0.5683207771559354,0.02996235509584727,0.4367043115708194,10.316666666666668,3.815945070570225,8.951148260343391,11.682185072989945,13.843333333333334,8.838305475494774,10.68058633768739,17.006080328979277,34.266666666666666,6.313277379013836,32.00748937091499,36.52584396241834,8.6,2.835732587947042,7.585246125758883,9.614753874241117
