campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-01T00-02-12-896Z,normal_rep_1,1,2026-03-01T00:02:12.848Z,normal,traditional,20260398,120,0.2,1,4,23.7,12.5,98.77,15.5,25,25,120
campaign_2026-03-01T00-02-12-896Z,normal_rep_1,1,2026-03-01T00:02:12.851Z,normal,ai,20260398,120,0.2,1,4,16.2,19,106.77,2.3,12,38,120
campaign_2026-03-01T00-02-12-896Z,normal_rep_2,2,2026-03-01T00:02:12.853Z,normal,traditional,20260495,120,0.2,1,4,31.5,15.5,170.66,51,19,31,120
campaign_2026-03-01T00-02-12-896Z,normal_rep_2,2,2026-03-01T00:02:12.854Z,normal,ai,20260495,120,0.2,1,4,17.5,19.5,113.73,1.5,11,39,120
campaign_2026-03-01T00-02-12-896Z,normal_rep_3,3,2026-03-01T00:02:12.856Z,normal,traditional,20260592,120,0.2,1,4,26.9,13,125.09,0,24,26,120
campaign_2026-03-01T00-02-12-896Z,normal_rep_3,3,2026-03-01T00:02:12.857Z,normal,ai,20260592,120,0.2,1,4,19.4,19,125.59,1.6,12,38,120
campaign_2026-03-01T00-02-12-896Z,normal_rep_4,4,2026-03-01T00:02:12.859Z,normal,traditional,20260689,120,0.2,1,4,30.1,13.5,130.79,18.2,23,27,120
campaign_2026-03-01T00-02-12-896Z,normal_rep_4,4,2026-03-01T00:02:12.860Z,normal,ai,20260689,120,0.2,1,4,21.4,19.5,130.78,2,11,39,120
campaign_2026-03-01T00-02-12-896Z,normal_rep_5,5,2026-03-01T00:02:12.861Z,normal,traditional,20260786,120,0.2,1,4,35.4,14,193.44,40.1,22,28,120
campaign_2026-03-01T00-02-12-896Z,normal_rep_5,5,2026-03-01T00:02:12.862Z,normal,ai,20260786,120,0.2,1,4,21.7,19,169.01,2.2,12,38,120
campaign_2026-03-01T00-02-12-896Z,rush_hour_rep_1,1,2026-03-01T00:02:12.864Z,rush_hour,traditional,20360398,120,0.2,1,4,37.8,30.5,412.07,35.3,40,61,120
campaign_2026-03-01T00-02-12-896Z,rush_hour_rep_1,1,2026-03-01T00:02:12.866Z,rush_hour,ai,20360398,120,0.2,1,4,25.4,49.5,494.9,1.7,37,99,120
campaign_2026-03-01T00-02-12-896Z,rush_hour_rep_2,2,2026-03-01T00:02:12.867Z,rush_hour,traditional,20360495,120,0.2,1,4,37.7,30.5,431.24,41.8,40,61,120
