campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-01T12-00-30-722Z,normal_rep_1,1,2026-03-01T12:00:30.665Z,normal,traditional,20260398,120,0.2,1,4,8.9,5.5,42.65,13.3,16,0,7,11,120
campaign_2026-03-01T12-00-30-722Z,normal_rep_1,1,2026-03-01T12:00:30.669Z,normal,ai,20260398,120,0.2,1,4,9.1,9.5,48.71,2.3,14,0,3,19,120
campaign_2026-03-01T12-00-30-722Z,normal_rep_2,2,2026-03-01T12:00:30.671Z,normal,traditional,20260495,120,0.2,1,4,23.1,3,49.45,42.2,19,0,7,6,120
campaign_2026-03-01T12-00-30-722Z,normal_rep_2,2,2026-03-01T12:00:30.673Z,normal,ai,20260495,120,0.2,1,4,12.6,7,58.64,1.6,16,0,5,14,120
campaign_2026-03-01T12-00-30-722Z,normal_rep_3,3,2026-03-01T12:00:30.675Z,normal,traditional,20260592,120,0.2,1,4,28.2,4.5,57.24,0,16,0,9,9,120
campaign_2026-03-01T12-00-30-722Z,normal_rep_3,3,2026-03-01T12:00:30.676Z,normal,ai,20260592,120,0.2,1,4,14.1,7.5,59.42,1.6,14,0,7,15,120
campaign_2026-03-01T12-00-30-722Z,normal_rep_4,4,2026-03-01T12:00:30.678Z,normal,traditional,20260689,120,0.2,1,4,27.7,4.5,56.17,18.2,15,0,11,9,120
campaign_2026-03-01T12-00-30-722Z,normal_rep_4,4,2026-03-01T12:00:30.679Z,normal,ai,20260689,120,0.2,1,4,13.3,8,53.58,1.8,15,0,4,16,120
campaign_2026-03-01T12-00-30-722Z,normal_rep_5,5,2026-03-01T12:00:30.680Z,normal,traditional,20260786,120,0.2,1,4,20.7,1,35.51,0,20,0,8,2,120
campaign_2026-03-01T12-00-30-722Z,normal_rep_5,5,2026-03-01T12:00:30.681Z,normal,ai,20260786,120,0.2,1,4,10.4,7.5,49.33,2.2,14,0,7,15,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_1,1,2026-03-01T12:00:30.684Z,rush_hour,traditional,20360398,120,0.2,1,4,9.1,5,150.49,12.2,90,0,10,10,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_1,1,2026-03-01T12:00:30.686Z,rush_hour,ai,20360398,120,0.2,1,4,5.8,12,152.5,1.4,85,0,6,24,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_2,2,2026-03-01T12:00:30.689Z,rush_hour,traditional,20360495,120,0.2,1,4,9.1,6.5,152.81,2,88,1,11,13,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_2,2,2026-03-01T12:00:30.691Z,rush_hour,ai,20360495,120,0.2,1,4,4.8,10.5,146.95,1.5,85,0,9,21,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_3,3,2026-03-01T12:00:30.692Z,rush_hour,traditional,20360592,120,0.2,1,4,7.4,4.5,146.95,21.6,90,0,11,9,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_3,3,2026-03-01T12:00:30.694Z,rush_hour,ai,20360592,120,0.2,1,4,5.8,11.5,152.97,1.9,83,1,11,23,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_4,4,2026-03-01T12:00:30.696Z,rush_hour,traditional,20360689,120,0.2,1,4,8.8,4.5,154.48,9.2,91,1,9,9,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_4,4,2026-03-01T12:00:30.697Z,rush_hour,ai,20360689,120,0.2,1,4,7.2,13,162.63,1.8,84,0,7,26,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_5,5,2026-03-01T12:00:30.700Z,rush_hour,traditional,20360786,120,0.2,1,4,10.1,2.5,144.43,7.2,91,0,13,5,120
campaign_2026-03-01T12-00-30-722Z,rush_hour_rep_5,5,2026-03-01T12:00:30.702Z,rush_hour,ai,20360786,120,0.2,1,4,4.9,13.5,148.82,1.8,82,0,9,27,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_1,1,2026-03-01T12:00:30.703Z,accident,traditional,20460398,120,0.2,1,4,30.4,1.5,50.78,0,26,0,5,3,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_1,1,2026-03-01T12:00:30.704Z,accident,ai,20460398,120,0.2,1,4,6.2,6,43.75,2.4,20,0,8,12,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_2,2,2026-03-01T12:00:30.705Z,accident,traditional,20460495,120,0.2,1,4,32.7,2,58.23,89.4,24,0,8,4,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_2,2,2026-03-01T12:00:30.706Z,accident,ai,20460495,120,0.2,1,4,12,4,50.85,2.1,24,0,4,8,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_3,3,2026-03-01T12:00:30.707Z,accident,traditional,20460592,120,0.2,1,4,24.7,2,52.6,0,24,0,8,4,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_3,3,2026-03-01T12:00:30.708Z,accident,ai,20460592,120,0.2,1,4,4.7,6.5,46.27,2.7,22,0,3,13,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_4,4,2026-03-01T12:00:30.709Z,accident,traditional,20460689,120,0.2,1,4,28.7,1.5,48.68,0,25,0,7,3,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_4,4,2026-03-01T12:00:30.710Z,accident,ai,20460689,120,0.2,1,4,11.5,5.5,54.38,2.9,23,0,3,11,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_5,5,2026-03-01T12:00:30.711Z,accident,traditional,20460786,120,0.2,1,4,3.4,0.5,39.65,0,26,0,7,1,120
campaign_2026-03-01T12-00-30-722Z,accident_rep_5,5,2026-03-01T12:00:30.712Z,accident,ai,20460786,120,0.2,1,4,11.2,4.5,53.9,2.5,25,0,1,9,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_1,1,2026-03-01T12:00:30.714Z,emergency,traditional,20560398,120,0.2,1,4,20.9,2,47.29,0,24,0,8,4,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_1,1,2026-03-01T12:00:30.714Z,emergency,ai,20560398,120,0.2,1,4,7.3,8,54.1,1.9,20,0,4,16,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_2,2,2026-03-01T12:00:30.715Z,emergency,traditional,20560495,120,0.2,1,4,16.4,6,62.61,17.3,18,0,12,12,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_2,2,2026-03-01T12:00:30.716Z,emergency,ai,20560495,120,0.2,1,4,8.5,8,55.75,2,19,0,6,16,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_3,3,2026-03-01T12:00:30.717Z,emergency,traditional,20560592,120,0.2,1,4,15.8,5,59.33,12.1,21,0,8,10,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_3,3,2026-03-01T12:00:30.717Z,emergency,ai,20560592,120,0.2,1,4,7.2,11,59.71,1.7,16,0,6,22,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_4,4,2026-03-01T12:00:30.719Z,emergency,traditional,20560689,120,0.2,1,4,26,4,67.22,29.5,23,0,6,8,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_4,4,2026-03-01T12:00:30.719Z,emergency,ai,20560689,120,0.2,1,4,5,11,47.72,1.9,17,0,4,22,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_5,5,2026-03-01T12:00:30.720Z,emergency,traditional,20560786,120,0.2,1,4,17.5,5,71.2,19.2,20,0,10,10,120
campaign_2026-03-01T12-00-30-722Z,emergency_rep_5,5,2026-03-01T12:00:30.721Z,emergency,ai,20560786,120,0.2,1,4,8.6,12.5,65.63,1.7,14,0,7,25,120
