campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-14T00-25-45-828Z,normal_rep_1,1,2026-03-14T00:25:38.927Z,normal,traditional,20260398,300,0.2,1,6,91.9,2.4,248.79,0,50,0,86.5,152,11,1,14,12,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_1,1,2026-03-14T00:25:38.965Z,normal,ai,20260398,300,0.2,1,6,37.8,5,204.62,3.2,43,0,38.4,62.2,23,1,14,25,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_2,2,2026-03-14T00:25:38.994Z,normal,traditional,20260495,300,0.2,1,6,78.9,2.4,199.33,109.4,49,0,76.3,0,11,0,15,12,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_2,2,2026-03-14T00:25:39.008Z,normal,ai,20260495,300,0.2,1,6,27,7,207.18,2.6,38,0,31,38.9,28,2,14,35,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_3,3,2026-03-14T00:25:39.023Z,normal,traditional,20260592,300,0.2,1,6,56.6,3.2,197.83,68.7,49,0,55.2,0,14,0,11,16,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_3,3,2026-03-14T00:25:39.036Z,normal,ai,20260592,300,0.2,1,6,32.1,5.8,208.8,2.4,44,0,39.1,35,22,2,9,29,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_4,4,2026-03-14T00:25:39.055Z,normal,traditional,20260689,300,0.2,1,6,77.6,3,226.48,113.4,49,0,75.3,0,14,0,12,15,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_4,4,2026-03-14T00:25:39.070Z,normal,ai,20260689,300,0.2,1,6,27.9,7,235.15,3.4,40,0,32.8,39.4,25,4,10,35,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_5,5,2026-03-14T00:25:39.084Z,normal,traditional,20260786,300,0.2,1,6,63.3,2,166.91,0,53,0,67.4,26.6,9,1,9,10,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_5,5,2026-03-14T00:25:39.096Z,normal,ai,20260786,300,0.2,1,6,39.3,5.2,210.3,2.4,45,1,42.9,34,23,1,9,26,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_6,6,2026-03-14T00:25:39.120Z,normal,traditional,20260883,300,0.2,1,6,71.8,3.2,222.71,66.8,49,0,72.3,0,15,0,11,16,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_6,6,2026-03-14T00:25:39.137Z,normal,ai,20260883,300,0.2,1,6,29.7,6.2,216.21,2.9,44,0,34.4,48.2,24,2,6,31,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_7,7,2026-03-14T00:25:39.154Z,normal,traditional,20260980,300,0.2,1,6,82,3.4,263.69,84.9,45,0,84.7,42.8,14,1,18,17,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_7,7,2026-03-14T00:25:39.172Z,normal,ai,20260980,300,0.2,1,6,34.4,6,218.9,2.4,44,0,40.7,27.8,24,2,7,30,300
