campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-19T11-11-58-781Z,normal_rep_1,1,2026-03-19T11:11:48.397Z,normal,traditional,20260398,300,0.2,1,6,68,1.6,155.95,0,58,0,68,0,8,0,12,8,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_1,1,2026-03-19T11:11:48.430Z,normal,ai,20260398,300,0.2,1,6,28.9,5.8,234.91,2.9,47,0,32.1,39.2,20,5,13,29,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_2,2,2026-03-19T11:11:48.446Z,normal,traditional,20260495,300,0.2,1,6,78.6,2.6,271.84,0,57,0,77.8,81,10,3,9,13,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_2,2,2026-03-19T11:11:48.460Z,normal,ai,20260495,300,0.2,1,6,38.9,5,238.45,2.7,51,0,44.1,44.9,19,3,9,25,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_3,3,2026-03-19T11:11:48.473Z,normal,traditional,20260592,300,0.2,1,6,68.2,1.8,171.55,0,59,0,74.7,16.4,8,1,9,9,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_3,3,2026-03-19T11:11:48.484Z,normal,ai,20260592,300,0.2,1,6,31.6,4.4,235.24,3.3,51,0,34.1,42.2,13,6,12,22,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_4,4,2026-03-19T11:11:48.497Z,normal,traditional,20260689,300,0.2,1,6,68.8,3,290.42,0,55,0,71.5,63.4,10,5,11,15,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_4,4,2026-03-19T11:11:48.509Z,normal,ai,20260689,300,0.2,1,6,30.4,5,184.3,2.8,48,0,38,38.4,19,1,15,25,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_5,5,2026-03-19T11:11:48.520Z,normal,traditional,20260786,300,0.2,1,6,36.3,2.8,155.36,31.9,55,0,38.3,0,11,0,12,14,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_5,5,2026-03-19T11:11:48.533Z,normal,ai,20260786,300,0.2,1,6,21.9,6.8,206.22,2.6,45,1,28.2,25.1,22,5,12,34,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_6,6,2026-03-19T11:11:48.550Z,normal,traditional,20260883,300,0.2,1,6,79.7,2,229.39,0,57,0,76.6,91.9,8,2,12,10,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_6,6,2026-03-19T11:11:48.562Z,normal,ai,20260883,300,0.2,1,6,29.5,3.4,167.88,2.4,54,0,33.4,22.8,13,3,11,17,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_7,7,2026-03-19T11:11:48.576Z,normal,traditional,20260980,300,0.2,1,6,70.4,2.2,223.93,0,57,0,67.3,84.6,9,2,11,11,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_7,7,2026-03-19T11:11:48.589Z,normal,ai,20260980,300,0.2,1,6,26.5,5.6,213.55,3.9,49,0,31.5,20.4,19,7,10,28,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_8,8,2026-03-19T11:11:48.604Z,normal,traditional,20261077,300,0.2,1,6,65,1.8,187.64,43,58,0,63.5,99.6,7,1,11,9,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_8,8,2026-03-19T11:11:48.616Z,normal,ai,20261077,300,0.2,1,6,35.2,4.8,274.35,2.7,51,0,38.6,68.6,13,5,10,24,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_9,9,2026-03-19T11:11:48.631Z,normal,traditional,20261174,300,0.2,1,6,64.9,2.2,185.91,0,57,1,67.4,40.2,10,1,11,11,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_9,9,2026-03-19T11:11:48.645Z,normal,ai,20261174,300,0.2,1,6,32,5,241.96,2.7,50,0,37.8,39,15,6,11,25,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_10,10,2026-03-19T11:11:48.660Z,normal,traditional,20261271,300,0.2,1,6,85.1,2.6,234.47,81.1,57,1,86.3,0,11,0,9,13,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_10,10,2026-03-19T11:11:48.674Z,normal,ai,20261271,300,0.2,1,6,28.5,5.6,246.02,2.9,48,0,34,36.2,16,7,12,28,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_11,11,2026-03-19T11:11:48.691Z,normal,traditional,20261368,300,0.2,1,6,67.5,3.2,243.14,0,55,0,65.3,99,15,1,10,16,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_11,11,2026-03-19T11:11:48.704Z,normal,ai,20261368,300,0.2,1,6,29.7,6,265.58,3.1,48,0,30.5,40.4,20,7,10,30,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_12,12,2026-03-19T11:11:48.716Z,normal,traditional,20261465,300,0.2,1,6,68.7,2.2,240.32,45.9,57,0,63.2,112.9,7,2,11,11,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_12,12,2026-03-19T11:11:48.728Z,normal,ai,20261465,300,0.2,1,6,26.8,5,201.37,2.9,49,0,35.9,33.2,15,4,13,25,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_13,13,2026-03-19T11:11:48.741Z,normal,traditional,20261562,300,0.2,1,6,65.2,3,264.95,75.2,57,0,63.7,68.5,11,3,7,15,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_13,13,2026-03-19T11:11:48.754Z,normal,ai,20261562,300,0.2,1,6,23.5,7,196.55,2.9,45,0,28.7,24.9,27,2,11,35,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_14,14,2026-03-19T11:11:48.769Z,normal,traditional,20261659,300,0.2,1,6,59.4,3.4,231.07,88,52,0,56.1,53.8,14,1,15,17,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_14,14,2026-03-19T11:11:48.781Z,normal,ai,20261659,300,0.2,1,6,29.6,6.8,267.45,3.2,46,0,36.6,34,21,7,10,34,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_15,15,2026-03-19T11:11:48.794Z,normal,traditional,20261756,300,0.2,1,6,62.2,0.8,125.75,44.6,61,0,68.8,0,3,0,10,4,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_15,15,2026-03-19T11:11:48.804Z,normal,ai,20261756,300,0.2,1,6,34.6,3.6,202.32,2.7,54,0,43.3,48.7,11,3,10,18,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_16,16,2026-03-19T11:11:48.817Z,normal,traditional,20261853,300,0.2,1,6,61.8,2.8,225.11,30.5,53,0,72.9,62.6,9,2,16,14,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_16,16,2026-03-19T11:11:48.829Z,normal,ai,20261853,300,0.2,1,6,27.1,6.2,246.18,3,48,0,36.3,27.8,17,8,9,31,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_17,17,2026-03-19T11:11:48.841Z,normal,traditional,20261950,300,0.2,1,6,64,2.2,172.76,7.8,55,0,69.9,0,10,0,15,11,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_17,17,2026-03-19T11:11:48.851Z,normal,ai,20261950,300,0.2,1,6,30.6,4.2,186.38,3.2,53,0,33.2,38.6,17,2,9,21,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_18,18,2026-03-19T11:11:48.863Z,normal,traditional,20262047,300,0.2,1,6,70.7,3,223.46,0,54,0,73.4,33.6,14,1,13,15,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_18,18,2026-03-19T11:11:48.876Z,normal,ai,20262047,300,0.2,1,6,29.5,6.6,254.35,3.1,46,0,33.4,34.3,23,6,11,33,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_19,19,2026-03-19T11:11:48.890Z,normal,traditional,20262144,300,0.2,1,6,75.5,3.2,285.03,0,56,0,77.4,67.2,13,3,8,16,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_19,19,2026-03-19T11:11:48.902Z,normal,ai,20262144,300,0.2,1,6,35.6,5.8,263.56,2.7,49,0,37.2,42.8,22,5,10,29,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_20,20,2026-03-19T11:11:48.913Z,normal,traditional,20262241,300,0.2,1,6,54.7,1.2,130.74,0,59,0,54.7,0,6,0,12,6,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_20,20,2026-03-19T11:11:48.925Z,normal,ai,20262241,300,0.2,1,6,28.6,4.8,238.73,2.7,51,1,29.9,38.2,14,7,10,24,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_21,21,2026-03-19T11:11:48.937Z,normal,traditional,20262338,300,0.2,1,6,67.8,2.2,233.91,0,56,0,64.6,76.2,8,3,13,11,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_21,21,2026-03-19T11:11:48.948Z,normal,ai,20262338,300,0.2,1,6,27.8,4.8,230.29,3.2,51,0,32.6,30.4,13,8,10,24,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_22,22,2026-03-19T11:11:48.961Z,normal,traditional,20262435,300,0.2,1,6,62.7,3,244.91,0,54,0,63.2,61.1,12,3,13,15,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_22,22,2026-03-19T11:11:48.973Z,normal,ai,20262435,300,0.2,1,6,27.9,5.6,203.19,2.7,49,0,33.1,28.5,21,3,10,28,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_23,23,2026-03-19T11:11:48.983Z,normal,traditional,20262532,300,0.2,1,6,57.8,2.6,192.64,0,56,0,64.2,22.6,11,2,11,13,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_23,23,2026-03-19T11:11:48.994Z,normal,ai,20262532,300,0.2,1,6,26.6,5,200.89,3,53,0,37.2,26.8,15,4,5,25,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_24,24,2026-03-19T11:11:49.005Z,normal,traditional,20262629,300,0.2,1,6,44.3,1.8,162.17,0,58,0,43.7,46.7,7,2,11,9,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_24,24,2026-03-19T11:11:49.015Z,normal,ai,20262629,300,0.2,1,6,30.6,4,184.39,3.3,52,0,44,20.9,12,4,12,20,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_25,25,2026-03-19T11:11:49.030Z,normal,traditional,20262726,300,0.2,1,6,63,3,239.96,6.6,55,1,72,49.3,11,3,11,15,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_25,25,2026-03-19T11:11:49.043Z,normal,ai,20262726,300,0.2,1,6,34.8,4.8,212.14,2.9,52,0,39.3,44.8,19,2,8,24,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_26,26,2026-03-19T11:11:49.056Z,normal,traditional,20262823,300,0.2,1,6,73.3,2.2,215.32,97.6,58,0,78.7,41.5,8,2,9,11,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_26,26,2026-03-19T11:11:49.067Z,normal,ai,20262823,300,0.2,1,6,37.8,4.8,249.12,3,49,0,46,43.7,15,5,14,24,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_27,27,2026-03-19T11:11:49.081Z,normal,traditional,20262920,300,0.2,1,6,75.2,2.8,278.5,109.2,55,0,70.8,79.5,10,3,12,14,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_27,27,2026-03-19T11:11:49.094Z,normal,ai,20262920,300,0.2,1,6,24.1,5.2,216.06,2.7,49,0,29.3,36.1,14,6,12,26,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_28,28,2026-03-19T11:11:49.108Z,normal,traditional,20263017,300,0.2,1,6,77.6,2.8,298.57,67.9,54,0,72.2,101.6,9,3,14,14,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_28,28,2026-03-19T11:11:49.121Z,normal,ai,20263017,300,0.2,1,6,32.4,6.2,268.35,3.2,49,0,33.2,48.1,23,5,8,31,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_29,29,2026-03-19T11:11:49.134Z,normal,traditional,20263114,300,0.2,1,6,80.9,3,259.59,98.2,54,0,79.4,85.6,13,1,13,15,300
campaign_2026-03-19T11-11-58-781Z,normal_rep_29,29,2026-03-19T11:11:49.146Z,normal,ai,20263114,300,0.2,1,6,21.1,5.4,180.91,3.3,51,0,28.6,16.4,17,5,7,27,300
