episode,scenario,seed,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,q_states,epsilon
1,normal,20260438,45,3.8,143.47,0,37,0,11,0.2093
2,rush_hour,20260575,21.2,5.3,336.35,61.4,180,0,14,0.1774
3,accident,20260712,37.9,4.5,167.88,43.4,45,0,15,0.1488
4,emergency,20260849,28.2,6.8,185.72,38.1,42,0,16,0.1157
5,vila_real,20260986,29.5,7,223.15,37.7,68,0,16,0.0959
6,portugal,20261123,14.1,10.8,198.28,16.5,73,0,16,0.0792
7,portugal_litoral,20261260,9.2,11.8,217.84,8.9,91,1,16,0.0666
8,portugal_interior,20261397,17,9.3,233.71,25,78,0,16,0.0578
9,portugal_sul,20261534,13.3,11.3,200.11,40.4,69,1,16,0.0481
10,normal,20261671,32.5,4.5,141.44,33.8,34,0,16,0.0408
11,rush_hour,20261808,27.7,5.5,354.01,3.6,181,0,16,0.0349
12,accident,20261945,46.9,1.8,129.37,93,50,1,16,0.0302
13,emergency,20262082,25.9,7,181.02,23.5,41,0,16,0.03
14,vila_real,20262219,26.7,3.8,169.1,27.4,73,0,16,0.03
15,portugal,20262356,13.1,10.5,211.83,14.4,72,1,16,0.03
16,portugal_litoral,20262493,18.1,9.8,250.79,6.3,91,0,16,0.03
17,portugal_interior,20262630,12.1,9.8,211.78,21.4,76,0,16,0.03
18,portugal_sul,20262767,9.2,11.8,174.3,16.2,70,0,16,0.03
19,normal,20262904,62.4,4.3,200.54,65.8,38,0,16,0.03
20,rush_hour,20263041,24,4.8,342.8,34.9,181,0,16,0.03
21,accident,20263178,47.5,4.8,204.46,72.2,46,0,16,0.03
22,emergency,20263315,41.5,4.5,180.49,32.2,46,1,16,0.03
23,vila_real,20263452,28.8,3,161.81,0,74,0,16,0.03
24,portugal,20263589,21.8,9,239.85,91.9,73,0,16,0.03
25,portugal_litoral,20263726,16.3,9.5,237.45,0,94,0,16,0.03
26,portugal_interior,20263863,16.4,13,285.63,26.3,69,0,16,0.03
27,portugal_sul,20264000,16.2,14.8,256,35.7,64,0,16,0.03
28,normal,20264137,27.1,4.3,122.65,33.9,37,0,16,0.03
29,rush_hour,20264274,17,8,349.3,25,173,1,16,0.03
30,accident,20264411,44.4,3.5,157.16,0,48,0,16,0.03
31,emergency,20264548,41.4,6,227.63,51.6,42,0,16,0.03
32,vila_real,20264685,30.3,3.8,193.05,35.6,73,0,16,0.03
33,portugal,20264822,16.4,9.8,227.98,33.7,74,0,16,0.03
34,portugal_litoral,20264959,12.6,12,224.91,0,91,0,16,0.03
35,portugal_interior,20265096,15.3,14,226.08,27.9,65,1,16,0.03
36,portugal_sul,20265233,16.9,10.5,209.51,6.2,74,0,16,0.03
37,normal,20265370,45.2,3.5,137.28,39.2,35,0,16,0.03
38,rush_hour,20265507,20.8,8,370.09,20.9,175,1,16,0.03
39,accident,20265644,61.8,2.3,148.56,26.6,51,0,16,0.03
40,emergency,20265781,49.8,5.5,229.99,63.7,41,0,16,0.03
41,vila_real,20265918,23.7,5.3,174.72,0,69,0,16,0.03
42,portugal,20266055,16.1,13.3,238.67,22.9,66,0,16,0.03
43,portugal_litoral,20266192,19.6,12,278.62,37.5,90,0,16,0.03
44,portugal_interior,20266329,9,11.5,180.12,12.7,68,0,16,0.03
45,portugal_sul,20266466,16.2,12.5,225.38,16.6,68,1,16,0.03
46,normal,20266603,40.6,4.3,151.37,81.9,34,0,16,0.03
47,rush_hour,20266740,20.2,7.5,366.11,33.4,179,0,16,0.03
48,accident,20266877,39.9,2.5,142,61.2,50,0,16,0.03
49,emergency,20267014,36.9,6.3,215.29,31.7,43,0,16,0.03
50,vila_real,20267151,29.4,4.8,178.6,2.4,69,0,16,0.03
51,portugal,20267288,19.3,10.8,246.28,47.3,72,0,16,0.03
52,portugal_litoral,20267425,13.3,11.5,225.27,11,90,0,16,0.03
53,portugal_interior,20267562,18.3,10.8,240.29,37.9,74,0,16,0.03
54,portugal_sul,20267699,16.8,11.5,218.21,17.1,70,1,16,0.03
55,normal,20267836,37.2,5.3,159.05,61,35,0,16,0.03
56,rush_hour,20267973,12.9,5.8,318.16,6.9,181,1,16,0.03
57,accident,20268110,37.1,4.5,162.45,71,45,0,16,0.03
58,emergency,20268247,29.4,6.3,188.69,38.5,42,0,16,0.03
59,vila_real,20268384,18.1,4.3,153.92,10,70,0,17,0.03
60,portugal,20268521,12.4,8.3,179.71,39.3,76,0,18,0.03
61,portugal_litoral,20268658,12.7,11.5,219.74,0,90,0,18,0.03
62,portugal_interior,20268795,10.8,10.5,190.38,20.4,73,0,18,0.03
63,portugal_sul,20268932,18.3,10,271.34,49.8,74,0,18,0.03
64,normal,20269069,49.4,4,168.4,61.5,37,0,18,0.03
65,rush_hour,20269206,23.7,5.5,344.98,10.8,181,1,18,0.03
66,accident,20269343,30.1,3.8,137.02,27,47,0,18,0.03
67,emergency,20269480,29.2,5.5,172,35.8,43,1,18,0.03
68,vila_real,20269617,22.1,4.3,172.25,2.4,73,0,18,0.03
69,portugal,20269754,19.1,7.8,221.58,29.9,79,0,18,0.03
70,portugal_litoral,20269891,14.5,9,263.28,3.2,95,1,18,0.03
71,portugal_interior,20270028,16.2,12.3,242.99,48.4,70,0,18,0.03
72,portugal_sul,20270165,22.5,9.3,262.45,64.1,75,0,18,0.03
73,normal,20270302,32.3,3.8,128.96,88.4,39,0,18,0.03
74,rush_hour,20270439,22.7,5.3,354.54,15.4,182,1,18,0.03
75,accident,20270576,43.3,2.8,142.59,86.6,50,0,18,0.03
76,emergency,20270713,31.7,6,213.31,26.5,44,0,18,0.03
77,vila_real,20270850,30,4.8,185.95,21.4,72,0,18,0.03
78,portugal,20270987,15.1,8.3,197.52,15.3,78,0,18,0.03
79,portugal_litoral,20271124,11,11,210.18,4.3,93,1,18,0.03
80,portugal_interior,20271261,14.1,12.5,217.63,29.1,69,0,18,0.03
